,Year,Type,County,Ag District,Ag District Code,ACRES HARVESTED,ACRES PLANTED,"ACRES PLANTED, NET","PRODUCTION, MEASURED IN BU","YIELD, MEASURED IN BU / ACRE","YIELD, MEASURED IN BU / NET PLANTED ACRE"
215,2001,"WHEAT, SPRING, DURUM",GOLDEN VALLEY,SOUTHWEST,70,19000.0,23000.0,,618000.0,32.5,
216,2001,"WHEAT, SPRING, DURUM",GRAND FORKS,NORTHEAST,30,3400.0,3700.0,,93000.0,27.4,
217,2001,"WHEAT, SPRING, DURUM",GRANT,SOUTH CENTRAL,80,6300.0,7000.0,,246000.0,39.0,
218,2001,"WHEAT, SPRING, DURUM",GRIGGS,EAST CENTRAL,60,7800.0,8000.0,,222000.0,28.5,
219,2001,"WHEAT, SPRING, DURUM",HETTINGER,SOUTHWEST,70,62500.0,64000.0,,2805000.0,44.9,
220,2001,"WHEAT, SPRING, DURUM",KIDDER,CENTRAL,50,6400.0,7100.0,,117000.0,18.3,
221,2001,"WHEAT, SPRING, DURUM",LA MOURE,SOUTHEAST,90,700.0,800.0,,28000.0,40.0,
222,2001,"WHEAT, SPRING, DURUM",LOGAN,SOUTHEAST,90,5600.0,5800.0,,143000.0,25.5,
223,2001,"WHEAT, SPRING, DURUM",MCHENRY,NORTH CENTRAL,20,15000.0,16500.0,,429000.0,28.6,
224,2001,"WHEAT, SPRING, DURUM",MCINTOSH,SOUTHEAST,90,4500.0,4700.0,,166000.0,36.9,
225,2001,"WHEAT, SPRING, DURUM",MCKENZIE,WEST CENTRAL,40,91000.0,92000.0,,2747000.0,30.2,
226,2001,"WHEAT, SPRING, DURUM",MCLEAN,WEST CENTRAL,40,152000.0,155000.0,,3905000.0,25.7,
227,2001,"WHEAT, SPRING, DURUM",MERCER,WEST CENTRAL,40,21800.0,22000.0,,726000.0,33.3,
228,2001,"WHEAT, SPRING, DURUM",MORTON,SOUTH CENTRAL,80,10000.0,11000.0,,291000.0,29.1,
229,2001,"WHEAT, SPRING, DURUM",MOUNTRAIL,NORTHWEST,10,255000.0,265000.0,,6365000.0,25.0,
230,2001,"WHEAT, SPRING, DURUM",NELSON,NORTHEAST,30,13000.0,14000.0,,234000.0,18.0,
231,2001,"WHEAT, SPRING, DURUM",OLIVER,WEST CENTRAL,40,3700.0,4000.0,,116000.0,31.4,
232,2001,"WHEAT, SPRING, DURUM",OTHER (COMBINED) COUNTIES,EAST CENTRAL,60,500.0,600.0,,13000.0,26.0,
233,2001,"WHEAT, SPRING, DURUM",OTHER (COMBINED) COUNTIES,SOUTHEAST,90,700.0,700.0,,33000.0,47.1,
234,2001,"WHEAT, SPRING, DURUM",PEMBINA,NORTHEAST,30,500.0,500.0,,15000.0,30.0,
235,2001,"WHEAT, SPRING, DURUM",PIERCE,NORTH CENTRAL,20,20500.0,22500.0,,413000.0,20.1,
236,2001,"WHEAT, SPRING, DURUM",RAMSEY,NORTHEAST,30,53000.0,61000.0,,639000.0,12.1,
237,2001,"WHEAT, SPRING, DURUM",RENVILLE,NORTHWEST,10,96000.0,100000.0,,1650000.0,17.2,
238,2001,"WHEAT, SPRING, DURUM",ROLETTE,NORTH CENTRAL,20,19500.0,21000.0,,562000.0,28.8,
239,2001,"WHEAT, SPRING, DURUM",SHERIDAN,CENTRAL,50,7100.0,7300.0,,157000.0,22.1,
240,2001,"WHEAT, SPRING, DURUM",SIOUX,SOUTH CENTRAL,80,3800.0,3800.0,,123000.0,32.4,
241,2001,"WHEAT, SPRING, DURUM",SLOPE,SOUTHWEST,70,34300.0,35000.0,,1365000.0,39.8,
242,2001,"WHEAT, SPRING, DURUM",STARK,SOUTHWEST,70,30500.0,32000.0,,1152000.0,37.8,
243,2001,"WHEAT, SPRING, DURUM",STUTSMAN,CENTRAL,50,30300.0,33500.0,,609000.0,20.1,
244,2001,"WHEAT, SPRING, DURUM",TOWNER,NORTHEAST,30,33500.0,37500.0,,746000.0,22.3,
245,2001,"WHEAT, SPRING, DURUM",WALSH,NORTHEAST,30,3500.0,3800.0,,95000.0,27.1,
246,2001,"WHEAT, SPRING, DURUM",WARD,NORTHWEST,10,160000.0,170000.0,,3755000.0,23.5,
247,2001,"WHEAT, SPRING, DURUM",WELLS,CENTRAL,50,12500.0,13000.0,,367000.0,29.4,
248,2001,"WHEAT, SPRING, DURUM",WILLIAMS,NORTHWEST,10,313000.0,320000.0,,8720000.0,27.9,
249,2001,"WHEAT, WINTER",ADAMS,SOUTHWEST,70,800.0,1700.0,1600.0,24000.0,30.0,15.0
250,2001,"WHEAT, WINTER",BARNES,EAST CENTRAL,60,1800.0,4500.0,4500.0,54000.0,30.0,12.0
