Station Name,Latitude,Longitude,Elevation,Year,Max Temp,Number Missing,Number Estimated,Min Temp,Number Missing,Number Estimated,Avg Temp,Number Missing,Number Estimated,Avg Bare Soil Temp,Number Missing,Number Estimated,Avg Turf Soil Temp,Number Missing,Number Estimated,Avg Wind Speed,Number Missing,Number Estimated,Max Wind Speed,Number Missing,Number Estimated,Total Solar Rad,Number Missing,Number Estimated,Avg Penman PET,Number Missing,Number Estimated,Total Penman PET,Number Missing,Number Estimated,Total Rainfall,Number Missing,Number Estimated,Avg Dew Point,Number Missing,Number Estimated,Avg Wind Chill,Number Missing,Number Estimated
,deg,deg,ft,,Degrees F,,,Degrees F,,,Degrees F,,,Degrees F,,,Degrees F,,,mph,,,mph,,,Lys,,,inch,,,inch,,,inch,,,Degrees F,,,Degrees F,,
Mooreton,46.22509,-96.89536,983,2013,50.317,0,0,29.121,0,0,39.719,0,0,47.035,0,0,46.582,0,0,8.478,0,6,21.726,0,6,309.936,0,0,0.114,0,0,41.748,0,0,20.96,151,23,32.651,0,1,33.905,0,7
Mooreton,46.22509,-96.89536,983,2014,51.367,0,1,30.604,0,1,40.985,0,1,47.182,0,2,46.41,0,2,9.022,0,2,23.089,0,1,303.308,0,2,0.113,0,0,41.256,0,0,15.041,151,3,33.942,0,1,34.691,0,1
Mooreton,46.22509,-96.89536,983,2015,56.835,0,1,33.591,0,3,45.213,0,3,49.318,0,1,47.131,0,1,8.528,0,1,22.738,0,0,316.926,0,5,0.14,0,0,51.27,0,0,13.919,151,0,35.772,0,1,40.551,0,1
Mooreton,46.22509,-96.89536,983,2016,57.805,0,0,35.234,0,2,46.52,0,2,50.004,0,0,49.8,0,1,8.685,0,0,23.224,0,0,316.722,0,0,0.141,0,0,51.671,0,0,17.281,152,0,37.358,0,0,41.938,0,0
Mooreton,46.22509,-96.89536,983,2017,55.21,0,0,32.303,0,1,43.756,0,1,47.385,0,5,46.182,0,6,8.537,0,5,23.045,0,0,317.678,0,5,0.134,0,0,48.792,0,0,18.323,151,0,35.01,0,5,39.069,0,5
Mooreton,46.22509,-96.89536,983,2018,52.238,0,2,30.373,0,7,41.306,0,7,46.707,0,10,44.91,0,10,8.074,0,5,21.785,0,1,321.884,0,4,0.123,0,0,44.778,0,0,14.71,151,1,33.819,0,5,36.306,0,5
Mooreton,46.22509,-96.89536,983,2019,48.928,0,0,29.525,0,1,39.226,0,1,46.878,0,3,45.944,0,3,7.99,0,3,22.313,0,0,318.619,0,3,0.108,0,0,39.524,0,0,23.883,151,0,32.614,0,3,34.059,0,3
Mooreton,46.22509,-96.89536,983,2020,53.876,0,0,31.336,0,0,42.606,0,0,48.823,0,3,46.977,0,4,8.588,0,3,24.076,0,0,336.906,0,3,0.135,0,0,49.237,0,0,17.137,152,0,34.517,0,3,38.161,0,3
Mooreton,46.22509,-96.89536,983,2021,56.654,0,0,33.206,0,1,44.93,0,1,50.052,0,1,47.702,0,1,8.348,0,1,23.839,0,0,335.634,0,1,0.147,0,0,53.607,0,0,16.825,151,0,35.366,0,1,40.707,0,1
Mooreton,46.22509,-96.89536,983,2022,51.788,0,1,29.219,0,1,40.504,0,1,44.223,0,2,47.628,0,3,9.489,0,2,24.771,0,1,344.012,0,2,0.158,0,0,57.506,0,0,13.799,151,0,32.246,0,2,34.521,0,2
